agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
800,-114.4777777777778,7.0,9.0,False,0.2,1.0,1.0,0,2,60,0.2761111111111116,5,9.0,3,3,3,"[False, False, False, False, False]",200
1168,-0.8875000000000075,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.955625,5,8.0,3,3,5,"[False, False, False, False, False]",200
1696,-7.118750000000022,11.0,8.0,True,0.6,1.0,1.0,0,0,55,0.6440625,5,8.0,4,4,5,"[False, False, False, False, False]",200
2166,-8.481818181818133,12.0,11.0,True,0.6,1.0,1.0,0,0,60,0.5759090909090918,5,11.0,3,3,5,"[False, False, False, False, False]",200
2581,-4.133333333333335,12.0,9.0,True,0.6,1.0,1.0,0,0,59,0.7933333333333336,5,9.0,3,3,5,"[False, False, False, False, False]",200
2944,-0.8000000000000131,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.96,5,8.0,3,3,5,"[False, False, False, False, False]",200
3342,-107.925,12.0,12.0,False,0.6,1.0,1.0,0,0,64,0.60375,5,12.0,3,3,5,"[False, False, False, False, False]",200
3737,-1.8125000000000187,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.909375,5,8.0,3,3,5,"[False, False, False, False, False]",200
4377,-108.65624999999994,7.5,8.0,False,0.2,1.0,1.0,0,2,57,0.5671875,5,8.0,3,3,3,"[False, False, False, False, False]",200
4780,-1.987500000000013,12.0,8.0,True,0.6,1.0,1.0,0,0,73,0.900625,5,8.0,3,3,5,"[False, False, False, False, False]",200
5236,-109.17499999999998,12.0,12.0,False,0.6,1.0,1.0,0,0,54,0.54125,5,12.0,3,3,5,"[False, False, False, False, False]",200
5652,-2.3250000000000073,12.0,8.0,True,0.6,1.0,1.0,0,0,75,0.88375,5,8.0,3,3,5,"[False, False, False, False, False]",200
6090,-108.75833333333331,12.0,12.0,False,0.6,1.0,1.0,0,0,64,0.5620833333333334,5,12.0,3,3,5,"[False, False, False, False, False]",200
6605,-5.1437499999999705,12.0,8.0,True,0.6,1.0,1.0,0,0,50,0.7428125,5,8.0,4,4,5,"[False, False, False, False, False]",200
7029,-2.6500000000000137,12.0,8.0,True,0.6,1.0,1.0,0,0,61,0.8675,5,8.0,5,5,5,"[False, False, False, False, False]",200
7473,-3.2500000000000036,12.0,8.0,True,0.6,1.0,1.0,0,0,76,0.8375,5,8.0,3,3,5,"[False, False, False, False, False]",200
7915,-5.011111111111099,12.0,9.0,True,0.6,1.0,1.0,0,0,73,0.7494444444444445,5,9.0,5,5,5,"[False, False, False, False, False]",200
8275,-0.7000000000000122,12.0,8.0,True,0.6,1.0,1.0,0,0,48,0.965,5,8.0,3,3,5,"[False, False, False, False, False]",200
8636,-0.7875000000000172,12.0,8.0,True,0.6,1.0,1.0,0,0,55,0.960625,5,8.0,3,3,5,"[False, False, False, False, False]",200
9086,-3.2937499999999993,12.0,8.0,True,0.6,1.0,1.0,0,0,51,0.8353125,5,8.0,4,4,5,"[False, False, False, False, False]",200
9422,0.08749999999999399,12.0,8.0,True,0.6,1.0,1.0,0,0,52,1.004375,5,8.0,3,3,5,"[False, False, False, False, False]",200
9835,-4.122222222222224,12.0,9.0,True,0.6,1.0,1.0,0,0,64,0.7938888888888891,5,9.0,3,3,5,"[False, False, False, False, False]",200
10284,-109.04166666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,51,0.5479166666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
10733,-7.954545454545393,12.0,11.0,True,0.6,1.0,1.0,0,0,71,0.6022727272727282,5,11.0,3,3,5,"[False, False, False, False, False]",200
11119,10.059999999999999,12.0,5.0,True,0.6,1.0,1.0,0,0,62,1.503,5,5.0,3,3,5,"[False, False, False, False, False]",200
11552,-108.69166666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,55,0.5654166666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
12064,-6.866666666666649,12.0,9.0,True,0.6,1.0,1.0,0,0,88,0.656666666666666,5,9.0,4,4,5,"[False, False, False, False, False]",200
12471,-4.044444444444446,12.0,9.0,True,0.6,1.0,1.0,0,0,69,0.797777777777778,5,9.0,3,3,5,"[False, False, False, False, False]",200
12836,-2.8666666666666725,12.0,9.0,True,0.6,1.0,1.0,0,0,49,0.8566666666666675,5,9.0,3,3,5,"[False, False, False, False, False]",200
13212,-1.1250000000000075,12.0,8.0,True,0.6,1.0,1.0,0,0,63,0.94375,5,8.0,3,3,5,"[False, False, False, False, False]",200
13554,-0.13750000000000995,12.0,8.0,True,0.6,1.0,1.0,0,0,46,0.993125,5,8.0,3,3,5,"[False, False, False, False, False]",200
13948,-1.6375000000000055,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.918125,5,8.0,3,3,5,"[False, False, False, False, False]",200
14368,-4.300000000000001,12.0,9.0,True,0.6,1.0,1.0,0,0,66,0.7850000000000001,5,9.0,3,3,5,"[False, False, False, False, False]",200
14749,-1.4375000000000222,12.0,8.0,True,0.6,1.0,1.0,0,0,51,0.928125,5,8.0,3,3,5,"[False, False, False, False, False]",200
15222,-109.49166666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,63,0.5254166666666668,5,12.0,3,3,5,"[False, False, False, False, False]",200
15693,-109.34999999999998,12.0,12.0,False,0.6,1.0,1.0,0,0,87,0.5325,5,12.0,3,3,5,"[False, False, False, False, False]",200
16038,-0.2375000000000108,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.988125,5,8.0,3,3,5,"[False, False, False, False, False]",200
16474,-108.71666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,64,0.5641666666666667,5,12.0,4,4,5,"[False, False, False, False, False]",200
16935,-5.361111111111109,12.0,9.0,True,0.6,1.0,1.0,0,0,54,0.7319444444444444,5,9.0,4,4,5,"[False, False, False, False, False]",200
17322,-1.6375000000000242,12.0,8.0,True,0.6,1.0,1.0,0,0,49,0.918125,5,8.0,3,3,5,"[False, False, False, False, False]",200
17727,-3.8111111111111136,12.0,9.0,True,0.6,1.0,1.0,0,0,56,0.8094444444444449,5,9.0,3,3,5,"[False, False, False, False, False]",200
18195,6.799999999999993,10.0,5.0,True,0.4,1.0,1.0,0,1,65,1.34,5,5.0,2,2,4,"[False, False, False, False, False]",200
18646,-109.01666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,67,0.5491666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
19020,-1.1500000000000152,12.0,8.0,True,0.6,1.0,1.0,0,0,62,0.9425,5,8.0,3,3,5,"[False, False, False, False, False]",200
19508,-5.777777777777773,12.0,9.0,True,0.6,1.0,1.0,0,0,64,0.7111111111111122,5,9.0,3,3,5,"[False, False, False, False, False]",200
19931,-108.43333333333332,12.0,12.0,False,0.6,1.0,1.0,0,0,67,0.5783333333333333,5,12.0,3,3,5,"[False, False, False, False, False]",200
20356,-108.51666666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,57,0.5741666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
20799,-7.845454545454498,12.0,11.0,True,0.6,1.0,1.0,0,0,65,0.6077272727272737,5,11.0,3,3,5,"[False, False, False, False, False]",200
21207,-2.1500000000000137,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.8925,5,8.0,3,3,5,"[False, False, False, False, False]",200
21617,-2.2000000000000126,12.0,8.0,True,0.6,1.0,1.0,0,0,72,0.89,5,8.0,4,4,5,"[False, False, False, False, False]",200
22035,-108.42499999999998,12.0,12.0,False,0.6,1.0,1.0,0,0,44,0.57875,5,12.0,3,3,5,"[False, False, False, False, False]",200
22453,8.299999999999995,12.0,5.0,True,0.6,1.0,1.0,0,0,70,1.415000000000001,5,5.0,5,5,5,"[False, False, False, False, False]",200
22860,-2.1625000000000174,12.0,8.0,True,0.6,1.0,1.0,0,0,65,0.891875,5,8.0,3,3,5,"[False, False, False, False, False]",200
23309,-3.412500000000012,12.0,8.0,True,0.6,1.0,1.0,0,0,70,0.829375,5,8.0,5,5,5,"[False, False, False, False, False]",200
23692,-1.4000000000000137,12.0,8.0,True,0.6,1.0,1.0,0,0,64,0.93,5,8.0,3,3,5,"[False, False, False, False, False]",200
24032,-0.13750000000001528,12.0,8.0,True,0.6,1.0,1.0,0,0,54,0.993125,5,8.0,3,3,5,"[False, False, False, False, False]",200
24499,-8.427272727272678,12.0,11.0,True,0.6,1.0,1.0,0,0,57,0.5786363636363645,5,11.0,3,3,5,"[False, False, False, False, False]",200
