agent_transitions,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
462,-109.24166666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,68,0.5379166666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
1100,-112.65416666666667,12.0,12.0,False,0.6,1.0,1.0,0,0,102,0.36729166666666674,5,12.0,5,5,5,"[False, False, False, False, False]",200
1642,2.6499999999999937,12.0,5.0,True,0.6,1.0,1.0,0,0,66,1.1325000000000014,5,5.0,4,4,5,"[False, False, False, False, False]",200
2211,-6.412499999999948,12.0,8.0,True,0.6,1.0,1.0,0,0,58,0.679375,5,8.0,3,3,5,"[False, False, False, False, False]",200
2979,-12.806249999999933,12.0,8.0,True,0.6,1.0,1.0,0,0,81,0.3596875,5,8.0,5,5,5,"[False, False, False, False, False]",200
3349,-1.1000000000000214,12.0,8.0,True,0.6,1.0,1.0,0,0,50,0.945,5,8.0,3,3,5,"[False, False, False, False, False]",200
3728,-1.2000000000000064,12.0,8.0,True,0.6,1.0,1.0,0,0,49,0.94,5,8.0,3,3,5,"[False, False, False, False, False]",200
4209,-4.362499999999968,12.0,8.0,True,0.6,1.0,1.0,0,0,76,0.781875,5,8.0,5,5,5,"[False, False, False, False, False]",200
4892,-11.238888888888887,9.5,9.0,True,0.4,1.0,1.0,0,1,87,0.4380555555555561,5,9.0,4,4,4,"[False, False, False, False, False]",200
5371,-109.59166666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,69,0.5204166666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
5878,4.200000000000001,12.0,5.0,True,0.6,1.0,1.0,0,0,64,1.210000000000002,5,5.0,4,4,5,"[False, False, False, False, False]",200
6447,1.3199999999999947,12.0,5.0,True,0.6,1.0,1.0,0,0,62,1.0660000000000014,5,5.0,5,5,5,"[False, False, False, False, False]",200
6866,-4.144444444444446,12.0,9.0,True,0.6,1.0,1.0,0,0,58,0.7927777777777781,5,9.0,3,3,5,"[False, False, False, False, False]",200
7410,-5.624999999999945,10.0,8.0,True,0.4,1.0,1.0,0,1,70,0.71875,5,8.0,3,3,4,"[False, False, False, False, False]",200
7844,-7.636363636363606,12.0,11.0,True,0.6,1.0,1.0,0,0,66,0.6181818181818192,5,11.0,3,3,5,"[False, False, False, False, False]",200
8269,-2.7125000000000163,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.864375,5,8.0,4,4,5,"[False, False, False, False, False]",200
8688,-108.39166666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,57,0.5804166666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
9199,-6.92222222222223,12.0,9.0,True,0.6,1.0,1.0,0,0,75,0.6538888888888883,5,9.0,4,4,5,"[False, False, False, False, False]",200
9772,-6.899999999999943,12.0,8.0,True,0.6,1.0,1.0,0,0,71,0.655,5,8.0,4,4,5,"[False, False, False, False, False]",200
10172,-1.9375000000000164,12.0,8.0,True,0.6,1.0,1.0,0,0,56,0.903125,5,8.0,3,3,5,"[False, False, False, False, False]",200
10558,9.91,12.0,5.0,True,0.6,1.0,1.0,0,0,59,1.4955,5,5.0,5,5,5,"[False, False, False, False, False]",200
11014,-8.199999999999951,12.0,11.0,True,0.6,1.0,1.0,0,0,52,0.590000000000001,5,11.0,3,3,5,"[False, False, False, False, False]",200
11598,-8.80000000000002,12.0,9.0,True,0.6,1.0,1.0,0,0,78,0.5599999999999994,5,9.0,5,5,5,"[False, False, False, False, False]",200
11962,11.110000000000003,12.0,5.0,True,0.6,1.0,1.0,0,0,52,1.5554999999999994,5,5.0,4,4,5,"[False, False, False, False, False]",200
12549,-8.888888888888905,12.0,9.0,True,0.6,1.0,1.0,0,0,78,0.555555555555555,5,9.0,5,5,5,"[False, False, False, False, False]",200
13061,-9.368181818181776,12.0,11.0,True,0.6,1.0,1.0,0,0,75,0.5315909090909099,5,11.0,4,4,5,"[False, False, False, False, False]",200
13499,-7.736363636363606,12.0,11.0,True,0.6,1.0,1.0,0,0,64,0.6131818181818192,5,11.0,3,3,5,"[False, False, False, False, False]",200
13883,-1.4625000000000166,12.0,8.0,True,0.6,1.0,1.0,0,0,62,0.926875,5,8.0,3,3,5,"[False, False, False, False, False]",200
14313,-108.66666666666664,12.0,12.0,False,0.6,1.0,1.0,0,0,46,0.5666666666666668,5,12.0,3,3,5,"[False, False, False, False, False]",200
14800,-4.281249999999985,12.0,8.0,True,0.6,1.0,1.0,0,0,55,0.7859375,5,8.0,4,4,5,"[False, False, False, False, False]",200
15418,-112.2,12.0,12.0,False,0.6,1.0,1.0,0,0,97,0.38999999999999985,5,12.0,5,5,5,"[False, False, False, False, False]",200
15778,11.17,12.0,5.0,True,0.6,1.0,1.0,0,0,49,1.5584999999999996,5,5.0,4,4,5,"[False, False, False, False, False]",200
16385,-9.449999999999994,12.0,9.0,True,0.6,1.0,1.0,0,0,93,0.5274999999999996,5,9.0,5,5,5,"[False, False, False, False, False]",200
16845,-3.8124999999999982,12.0,8.0,True,0.6,1.0,1.0,0,0,66,0.809375,5,8.0,4,4,5,"[False, False, False, False, False]",200
17280,-108.66666666666664,12.0,12.0,False,0.6,1.0,1.0,0,0,71,0.5666666666666667,5,12.0,3,3,5,"[False, False, False, False, False]",200
18016,-11.787499999999934,12.0,8.0,True,0.6,1.0,1.0,0,0,87,0.410625,5,8.0,5,5,5,"[False, False, False, False, False]",200
18648,-112.25000000000004,10.0,12.0,False,0.4,1.0,1.0,0,1,94,0.38749999999999996,5,12.0,4,4,4,"[False, False, False, False, False]",200
19406,-114.89583333333331,7.5,12.0,False,0.2,1.0,1.0,0,2,93,0.2552083333333333,5,12.0,3,3,3,"[False, False, False, False, False]",200
20071,-10.866666666666642,12.0,9.0,True,0.6,1.0,1.0,0,0,53,0.456666666666667,5,9.0,5,5,5,"[False, False, False, False, False]",200
20621,2.2299999999999938,12.0,5.0,True,0.6,1.0,1.0,0,0,63,1.1115000000000015,5,5.0,5,5,5,"[False, False, False, False, False]",200
21104,-6.088888888888864,12.0,9.0,True,0.6,1.0,1.0,0,0,50,0.6955555555555553,5,9.0,5,5,5,"[False, False, False, False, False]",200
21544,-2.9624999999999977,12.0,8.0,True,0.6,1.0,1.0,0,0,52,0.851875,5,8.0,4,4,5,"[False, False, False, False, False]",200
22247,-113.94583333333334,12.0,12.0,False,0.6,1.0,1.0,0,0,102,0.30270833333333336,5,12.0,5,5,5,"[False, False, False, False, False]",200
22835,-8.73888888888889,12.0,9.0,True,0.6,1.0,1.0,0,0,83,0.5630555555555551,5,9.0,5,5,5,"[False, False, False, False, False]",200
23268,-7.654545454545437,12.0,11.0,True,0.6,1.0,1.0,0,0,57,0.6172727272727283,5,11.0,3,3,5,"[False, False, False, False, False]",200
23939,-9.98749999999992,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.500625,5,8.0,5,5,5,"[False, False, False, False, False]",200
24415,-4.112499999999978,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.794375,5,8.0,4,4,5,"[False, False, False, False, False]",200
24902,-8.7727272727272,12.0,11.0,True,0.6,1.0,1.0,0,0,81,0.5613636363636372,5,11.0,4,4,5,"[False, False, False, False, False]",200
25746,-116.3863636363636,7.5,11.0,False,0.2,1.0,1.0,0,2,130,0.18068181818181828,5,11.0,3,3,3,"[False, False, False, False, False]",200
26365,-112.29166666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,112,0.38541666666666674,5,12.0,4,4,5,"[False, False, False, False, False]",200
26892,-5.574999999999959,12.0,8.0,True,0.6,1.0,1.0,0,0,65,0.72125,5,8.0,5,5,5,"[False, False, False, False, False]",200
27433,-111.7083333333333,11.0,12.0,False,0.6,1.0,1.0,0,0,91,0.4145833333333335,5,12.0,4,4,5,"[False, False, False, False, False]",200
28079,-10.51111111111109,12.0,9.0,True,0.6,1.0,1.0,0,0,114,0.4744444444444442,5,9.0,4,4,5,"[False, False, False, False, False]",200
28538,-3.7499999999999876,12.0,8.0,True,0.6,1.0,1.0,0,0,71,0.8125,5,8.0,3,3,5,"[False, False, False, False, False]",200
29209,-11.088888888888858,12.0,9.0,True,0.6,1.0,1.0,0,0,112,0.4455555555555555,5,9.0,4,4,5,"[False, False, False, False, False]",200
29622,8.439999999999998,12.0,5.0,True,0.6,1.0,1.0,0,0,66,1.4220000000000008,5,5.0,4,4,5,"[False, False, False, False, False]",200
30051,-7.581818181818172,12.0,11.0,True,0.6,1.0,1.0,0,0,53,0.620909090909092,5,11.0,3,3,5,"[False, False, False, False, False]",200
30554,-6.600000000000005,12.0,9.0,True,0.6,1.0,1.0,0,0,82,0.6699999999999993,5,9.0,5,5,5,"[False, False, False, False, False]",200
31134,-111.52916666666664,12.0,12.0,False,0.6,1.0,1.0,0,0,104,0.4235416666666667,5,12.0,4,4,5,"[False, False, False, False, False]",200
31515,9.950000000000003,12.0,5.0,True,0.6,1.0,1.0,0,0,56,1.4975,5,5.0,5,5,5,"[False, False, False, False, False]",200
32323,-113.90624999999994,7.5,8.0,False,0.2,1.0,1.0,0,2,99,0.3046875,5,8.0,3,3,3,"[False, False, False, False, False]",200
32745,-2.66250000000002,12.0,8.0,True,0.6,1.0,1.0,0,0,60,0.866875,5,8.0,3,3,5,"[False, False, False, False, False]",200
33297,-6.043749999999962,12.0,8.0,True,0.6,1.0,1.0,0,0,59,0.6978125,5,8.0,4,4,5,"[False, False, False, False, False]",200
33890,-11.04545454545451,12.0,11.0,True,0.6,1.0,1.0,0,0,101,0.44772727272727336,5,11.0,5,5,5,"[False, False, False, False, False]",200
34506,-112.24583333333334,12.0,12.0,False,0.6,1.0,1.0,0,0,103,0.3877083333333334,5,12.0,5,5,5,"[False, False, False, False, False]",200
34891,-1.5500000000000218,12.0,8.0,True,0.6,1.0,1.0,0,0,53,0.9225,5,8.0,3,3,5,"[False, False, False, False, False]",200
35377,-4.343749999999979,12.0,8.0,True,0.6,1.0,1.0,0,0,67,0.7828125,5,8.0,4,4,5,"[False, False, False, False, False]",200
35925,-5.749999999999945,10.0,8.0,True,0.4,1.0,1.0,0,1,55,0.7125,5,8.0,4,4,4,"[False, False, False, False, False]",200
36356,-2.3999999999999737,12.0,8.0,True,0.6,1.0,1.0,0,0,52,0.88,5,8.0,3,3,5,"[False, False, False, False, False]",200
36976,-7.9749999999999455,12.0,8.0,True,0.6,1.0,1.0,0,0,57,0.60125,5,8.0,5,5,5,"[False, False, False, False, True]",200
37698,-113.59090909090907,10.0,11.0,False,0.4,1.0,1.0,0,1,90,0.320454545454545,5,11.0,3,3,4,"[False, False, False, False, False]",200
38137,-3.1750000000000185,12.0,8.0,True,0.6,1.0,1.0,0,0,63,0.84125,5,8.0,3,3,5,"[False, False, False, False, False]",200
38871,-14.113636363636335,12.0,11.0,True,0.6,1.0,1.0,0,0,128,0.2943181818181821,5,11.0,5,5,5,"[False, False, False, False, False]",200
39311,-6.655555555555548,11.0,9.0,True,0.6,1.0,1.0,0,0,60,0.6672222222222238,5,9.0,3,3,5,"[False, False, False, False, False]",200
39876,-111.25416666666666,12.0,12.0,False,0.6,1.0,1.0,0,0,100,0.43729166666666663,5,12.0,4,4,5,"[False, False, False, False, False]",200
40370,-109.82499999999997,12.0,12.0,False,0.6,1.0,1.0,0,0,88,0.50875,5,12.0,3,3,5,"[False, False, False, False, False]",200
40782,-2.2937500000000153,12.0,8.0,True,0.6,1.0,1.0,0,0,69,0.8853125,5,8.0,4,4,5,"[False, False, False, False, False]",200
41290,-9.281818181818153,12.0,11.0,True,0.6,1.0,1.0,0,0,74,0.5359090909090918,5,11.0,4,4,5,"[False, False, False, False, False]",200
41757,-8.340909090909028,12.0,11.0,True,0.6,1.0,1.0,0,0,76,0.5829545454545463,5,11.0,4,4,5,"[False, False, False, False, False]",200
42331,-111.34166666666665,12.0,12.0,False,0.6,1.0,1.0,0,0,94,0.4329166666666666,5,12.0,3,3,5,"[False, False, False, False, False]",200
42891,-111.16250000000001,12.0,12.0,False,0.6,1.0,1.0,0,0,90,0.441875,5,12.0,5,5,5,"[False, False, False, False, False]",200
43564,-9.956249999999926,12.0,8.0,True,0.6,1.0,1.0,0,0,91,0.5021875,5,8.0,5,5,5,"[False, False, False, False, False]",200
44161,0.27999999999999253,9.5,5.0,True,0.4,1.0,1.0,0,1,67,1.0140000000000002,5,5.0,3,3,4,"[False, False, False, False, False]",200
44655,-8.9545454545454,12.0,11.0,True,0.6,1.0,1.0,0,0,76,0.5522727272727281,5,11.0,3,3,5,"[False, False, False, False, False]",200
45046,-1.7250000000000214,12.0,8.0,True,0.6,1.0,1.0,0,0,55,0.91375,5,8.0,3,3,5,"[False, False, False, False, False]",200
