agent_transitions,policy,episodes,seed,team_return,mission_success,score,baseline_score,destroyed_fraction,score_auc,steps
20557,random,10,10000,-116.37041666666664,0.2,4.6,8.7,0.26,0.18147916666666672,200.0
20557,heuristic,10,10000,-2.659166666666676,0.8,12.0,8.7,0.5999999999999999,0.8670416666666669,200.0
20557,mappo,10,10000,-4.180138888888882,0.8,12.0,8.7,0.5999999999999999,0.7909930555555551,200.0
40360,random,10,10000,-116.37041666666664,0.2,4.6,8.7,0.26,0.18147916666666672,200.0
40360,heuristic,10,10000,-2.659166666666676,0.8,12.0,8.7,0.5999999999999999,0.8670416666666669,200.0
40360,mappo,10,10000,-15.770555555555575,0.7,11.9,8.7,0.5999999999999999,0.7114722222222224,200.0
60181,random,10,10000,-116.37041666666664,0.2,4.6,8.7,0.26,0.18147916666666672,200.0
60181,heuristic,10,10000,-2.659166666666676,0.8,12.0,8.7,0.5999999999999999,0.8670416666666669,200.0
60181,mappo,10,10000,-14.806805555555547,0.7,12.0,8.7,0.5999999999999999,0.759659722222222,200.0
80042,random,10,10000,-116.37041666666664,0.2,4.6,8.7,0.26,0.18147916666666672,200.0
80042,heuristic,10,10000,-2.659166666666676,0.8,12.0,8.7,0.5999999999999999,0.8670416666666669,200.0
80042,mappo,10,10000,-3.5830555555555508,0.8,12.0,8.7,0.5999999999999999,0.8208472222222225,200.0
100000,random,10,10000,-116.37041666666664,0.2,4.6,8.7,0.26,0.18147916666666672,200.0
100000,heuristic,10,10000,-2.659166666666676,0.8,12.0,8.7,0.5999999999999999,0.8670416666666669,200.0
100000,mappo,10,10000,-2.8975000000000066,0.8,12.0,8.7,0.5999999999999999,0.8551250000000004,200.0
