policy,step,drone,target_id,target_type,target_life,target_score,estimated_distance,goal_x,goal_y,active
random,0,0,0,2,1,2,32.873730189909914,30.661234302170076,36.127783930304254,True
random,0,1,2,3,1,1,32.03696007702062,35.13681253696211,36.595186494011784,True
random,0,2,2,3,1,1,32.639455073347904,35.13681253696211,36.595186494011784,True
random,0,3,2,3,1,1,32.91845765271115,35.13681253696211,36.595186494011784,True
random,0,4,2,3,1,1,31.759959419376955,35.13681253696211,36.595186494011784,True
random,0,5,2,3,1,1,32.40215701067018,35.13681253696211,36.595186494011784,True
random,1,0,3,1,2,5,15.080150940913521,45.82098855522154,22.869735505403984,True
random,1,1,1,2,1,2,38.54050323855333,24.86638483456062,38.91167232272266,True
random,1,2,3,1,2,5,16.317398875337332,45.82098855522154,22.869735505403984,True
random,1,3,1,2,1,2,39.40178336346949,24.86638483456062,38.91167232272266,True
random,1,4,4,1,2,5,25.362991819781215,40.503734595752135,32.08963377962587,True
random,1,5,4,1,2,5,26.040598865303405,40.503734595752135,32.08963377962587,True
random,2,0,0,2,1,2,32.050021769693885,30.65435313778877,36.1434511625805,True
random,2,1,1,2,1,2,38.10499017239344,24.86410518411661,38.92096214188197,True
random,2,2,3,1,2,5,15.879807822600851,45.818810204744345,22.87647199526699,True
random,2,3,0,2,1,2,33.55127500472632,30.65435313778877,36.1434511625805,True
random,2,4,2,3,1,1,30.87642297774879,35.136420794771425,36.596615825362065,True
random,2,5,4,1,2,5,25.60275156215278,40.50137110869896,32.09584833430879,True
random,3,0,0,2,1,2,31.6140896848402,30.65091255559812,36.15128477871862,True
random,3,1,1,2,1,2,37.66947741575821,24.8618255336726,38.930251961041286,True
random,3,2,3,1,2,5,15.4422169714129,45.81663185426715,22.883208485129995,True
random,3,3,3,1,2,5,15.717074132165074,45.81663185426715,22.883208485129995,True
random,3,4,4,1,2,5,24.491313909722024,40.49900762164579,32.10206288899171,True
random,3,5,4,1,2,5,25.164904285966152,40.49900762164579,32.10206288899171,True
random,4,0,0,2,1,2,31.178157623646023,30.647471973407466,36.15911839485674,True
random,4,1,1,2,1,2,37.23396497209919,24.85954588322859,38.9395417802006,True
random,4,2,2,3,1,1,30.931277782940683,35.13602905258074,36.598045156712345,True
random,4,3,2,3,1,1,31.181063821635764,35.13602905258074,36.598045156712345,True
random,4,4,2,3,1,1,29.99314129238694,35.13602905258074,36.598045156712345,True
random,4,5,2,3,1,1,30.639098398383226,35.13602905258074,36.598045156712345,True
random,5,0,4,1,2,5,23.313518093429966,40.49428064753944,32.11449199835755,True
random,5,1,3,1,2,5,14.184004973583697,45.81227515331276,22.896681464856005,True
random,5,2,4,1,2,5,24.54639759917159,40.49428064753944,32.11449199835755,True
random,5,3,3,1,2,5,14.86542753199083,45.81227515331276,22.896681464856005,True
random,5,4,4,1,2,5,23.61989994620474,40.49428064753944,32.11449199835755,True
random,5,5,3,1,2,5,14.40517506070981,45.81227515331276,22.896681464856005,True
random,6,0,1,2,1,2,35.796381815908276,24.854986582340572,38.95812141851923,True
random,6,1,2,3,1,1,29.45271571041121,35.13563731039005,36.599474488062626,True
random,6,2,0,2,1,2,31.640876040914126,30.64059080902616,36.174785627132984,True
random,6,3,0,2,1,2,31.90427720874991,30.64059080902616,36.174785627132984,True
random,6,4,0,2,1,2,30.70994124684449,30.64059080902616,36.174785627132984,True
random,6,5,0,2,1,2,31.350831396273787,30.64059080902616,36.174785627132984,True
random,7,0,3,1,2,5,12.714312694390305,45.80791845235837,22.910154444582016,True
random,7,1,4,1,2,5,23.14274585311229,40.48955367343309,32.12692110772339,True
random,7,2,3,1,2,5,13.776079939356253,45.80791845235837,22.910154444582016,True
random,7,3,3,1,2,5,14.040305396177242,45.80791845235837,22.910154444582016,True
random,7,4,3,1,2,5,12.907993783481636,45.80791845235837,22.910154444582016,True
random,7,5,3,1,2,5,13.584271511926348,45.80791845235837,22.910154444582016,True
random,8,0,4,1,2,5,22.048612406812573,40.48719018637992,32.13313566240631,True
random,8,1,1,2,1,2,35.6185343716507,24.850427281452554,38.976701056837854,True
random,8,2,4,1,2,5,23.260117050455275,40.48719018637992,32.13313566240631,True
random,8,3,2,3,1,1,29.46209291172257,35.135245568199366,36.600903819412906,True
random,8,4,1,2,1,2,35.41814980135857,24.850427281452554,38.976701056837854,True
random,8,5,1,2,1,2,36.02735365417577,24.850427281452554,38.976701056837854,True
random,9,0,4,1,2,5,21.610754272687174,40.484826699326746,32.13935021708923,True
random,9,1,3,1,2,5,12.567354824623774,45.80356175140398,22.923627424308027,True
random,9,2,0,2,1,2,30.404490491051767,30.630269062454204,36.19828647554735,True
random,9,3,0,2,1,2,30.653119384721006,30.630269062454204,36.19828647554735,True
random,9,4,0,2,1,2,29.464773402034766,30.630269062454204,36.19828647554735,True
random,9,5,0,2,1,2,30.102113996055294,30.630269062454204,36.19828647554735,True
random,10,0,2,3,1,1,27.04563193674827,35.13485382600868,36.60233315076319,True
random,10,1,3,1,2,5,12.129556585555427,45.80138340092679,22.930363914171032,True
random,10,2,3,1,2,5,12.532772364063401,45.80138340092679,22.930363914171032,True
random,10,3,1,2,1,2,35.72232048072964,24.845867980564535,38.99528069515648,True
random,10,4,3,1,2,5,11.751377187703465,45.80138340092679,22.930363914171032,True
random,10,5,3,1,2,5,12.418772563585234,45.80138340092679,22.930363914171032,True
random,11,0,4,1,2,5,20.740572161463493,40.4800997252204,32.15177932645507,True
random,11,1,3,1,2,5,11.691758846359605,45.799205050449594,22.937100404034037,True
random,11,2,0,2,1,2,29.594082122058218,30.6233878980729,36.21395370782359,True
random,11,3,4,1,2,5,22.27437898213288,40.4800997252204,32.15177932645507,True
random,11,4,3,1,2,5,11.31358070248969,45.799205050449594,22.937100404034037,True
random,11,5,0,2,1,2,29.29692097259388,30.6233878980729,36.21395370782359,True
random,12,0,1,2,1,2,33.400837661776585,24.841308679676516,39.01386033347511,True
