policy,seed,team_return,score,baseline_score,mission_success,destroyed_fraction,discovery_fraction,area_coverage,first_detection_step,active_agents,first_score_step,score_auc,targets,success_threshold,strike_attempts,strike_hits,agents_expended,agent_terminated,steps
random,10000,-10.10000000000002,6.0,5.0,True,0.4,1.0,1.0,0,3,106,0.4950000000000007,5,5.0,3,3,3,"[False, False, False, False, False, False]",200
random,10001,-6.744444444444438,12.0,9.0,True,0.6,1.0,1.0,0,1,66,0.6627777777777777,5,9.0,4,4,5,"[False, False, False, False, False, False]",200
random,10002,-115.4333333333333,8.0,9.0,False,0.6,1.0,1.0,0,2,74,0.22833333333333303,5,9.0,3,3,4,"[False, False, False, False, False, False]",200
random,10003,-119.18181818181816,5.0,11.0,False,0.2,1.0,1.0,0,4,183,0.04090909090909089,5,11.0,1,1,2,"[False, False, False, False, False, False]",200
random,10004,-113.10000000000005,4.5,5.0,False,0.2,1.0,1.0,0,4,79,0.3450000000000001,5,5.0,2,2,2,"[False, False, False, False, False, False]",200
random,10005,-4.189999999999991,10.5,5.0,True,0.6,1.0,1.0,0,1,72,0.7905000000000001,5,5.0,5,5,5,"[False, False, False, False, False, False]",200
random,10006,-117.60833333333332,4.5,12.0,False,0.2,1.0,1.0,0,4,120,0.11958333333333333,5,12.0,2,2,2,"[False, False, False, False, False, False]",200
random,10007,-8.519999999999998,7.0,5.0,True,0.2,1.0,1.0,0,3,72,0.5740000000000001,5,5.0,3,3,3,"[False, False, False, False, False, False]",200
random,10008,-115.90454545454546,6.0,11.0,False,0.4,1.0,1.0,0,3,107,0.20477272727272755,5,11.0,3,3,3,"[False, False, False, False, False, False]",200
random,10009,-5.281249999999988,11.0,8.0,True,0.6,1.0,1.0,0,1,67,0.7359375,5,8.0,4,4,5,"[False, False, False, False, False, False]",200
random,10010,-115.20000000000003,2.5,5.0,False,0.0,1.0,1.0,0,5,105,0.24,5,5.0,1,1,1,"[False, False, False, False, False, False]",200
random,10011,-120.00000000000003,0.0,8.0,False,0.0,1.0,1.0,0,6,,0.0,5,8.0,0,0,0,"[False, False, False, False, False, False]",200
random,10012,-117.49999999999999,5.0,12.0,False,0.2,1.0,1.0,0,4,141,0.12500000000000008,5,12.0,1,1,2,"[False, False, False, False, False, False]",200
random,10013,-7.850000000000003,11.0,8.0,True,0.6,1.0,1.0,0,1,58,0.6075,5,8.0,4,4,5,"[False, False, False, False, False, False]",200
random,10014,-115.64166666666674,6.0,12.0,False,0.4,1.0,1.0,0,3,73,0.21791666666666668,5,12.0,2,2,3,"[False, False, False, False, False, False]",200
random,10015,-116.01666666666662,7.5,9.0,False,0.6,1.0,1.0,0,2,94,0.19916666666666705,5,9.0,4,4,4,"[False, False, False, False, False, False]",200
random,10016,-8.431250000000004,8.5,8.0,True,0.4,1.0,1.0,0,2,61,0.5784375,5,8.0,3,3,4,"[False, False, False, False, False, False]",200
random,10017,-13.58749999999991,9.5,8.0,True,0.4,1.0,1.0,0,2,102,0.320625,5,8.0,4,4,4,"[False, False, False, False, False, False]",200
random,10018,-116.56111111111106,7.5,9.0,False,0.6,1.0,1.0,0,2,68,0.17194444444444446,5,9.0,4,4,4,"[False, False, False, False, False, False]",200
random,10019,-120.00000000000003,0.0,12.0,False,0.0,1.0,1.0,0,6,,0.0,5,12.0,0,0,0,"[False, False, False, False, False, False]",200
random,10020,-10.562500000000016,8.5,8.0,True,0.4,1.0,1.0,0,2,73,0.471875,5,8.0,3,3,4,"[False, False, False, False, False, False]",200
random,10021,-120.00000000000003,0.0,9.0,False,0.0,1.0,1.0,0,6,,0.0,5,9.0,0,0,0,"[False, False, False, False, False, False]",200
random,10022,-113.46818181818183,8.0,11.0,False,0.4,1.0,1.0,0,2,56,0.326590909090909,5,11.0,4,4,4,"[False, False, False, False, False, False]",200
random,10023,-116.28124999999993,5.5,8.0,False,0.4,1.0,1.0,0,3,88,0.1859375,5,8.0,3,3,3,"[False, False, False, False, False, False]",200
random,10024,-119.01249999999993,3.5,8.0,False,0.2,1.0,1.0,0,4,172,0.049375,5,8.0,2,2,2,"[False, False, False, False, False, False]",200
random,10025,-116.69583333333335,4.5,12.0,False,0.2,1.0,1.0,0,4,59,0.1652083333333332,5,12.0,2,2,2,"[False, False, False, False, False, False]",200
random,10026,-116.84583333333336,4.5,12.0,False,0.2,1.0,1.0,0,4,83,0.1577083333333333,5,12.0,2,2,2,"[False, False, False, False, False, False]",200
random,10027,-6.011111111111106,13.0,9.0,True,0.8,1.0,1.0,0,0,76,0.6994444444444444,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
random,10028,-7.94999999999999,10.5,8.0,True,0.6,1.0,1.0,0,1,48,0.6025,5,8.0,4,4,5,"[False, False, False, False, False, False]",200
random,10029,-116.3458333333333,8.5,12.0,False,0.4,1.0,1.0,0,2,90,0.18270833333333328,5,12.0,4,4,4,"[False, False, False, False, False, False]",200
heuristic,10000,17.319999999999983,14.0,5.0,True,0.8,1.0,1.0,0,0,45,1.866000000000005,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10001,-0.28888888888889697,14.0,9.0,True,0.8,1.0,1.0,0,0,56,0.9855555555555532,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10002,-2.344444444444452,14.0,9.0,True,0.8,1.0,1.0,0,0,68,0.8827777777777763,5,9.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10003,-5.363636363636361,14.0,11.0,True,0.8,1.0,1.0,0,0,55,0.7318181818181807,5,11.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10004,16.239999999999984,14.0,5.0,True,0.8,1.0,1.0,0,0,58,1.8120000000000045,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10005,14.299999999999985,14.0,5.0,True,0.8,1.0,1.0,0,0,65,1.7150000000000043,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10006,-6.649999999999993,14.0,12.0,True,0.8,1.0,1.0,0,0,56,0.6675000000000009,5,12.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10007,16.459999999999983,14.0,5.0,True,0.8,1.0,1.0,0,0,55,1.8230000000000048,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10008,-4.927272727272726,14.0,11.0,True,0.8,1.0,1.0,0,0,53,0.7536363636363628,5,11.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10009,2.700000000000006,14.0,8.0,True,0.8,1.0,1.0,0,0,53,1.135,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10010,15.999999999999984,14.0,5.0,True,0.8,1.0,1.0,0,0,56,1.8000000000000045,5,5.0,4,4,6,"[False, False, False, False, False, False]",200
heuristic,10011,1.100000000000008,14.0,8.0,True,0.8,1.0,1.0,0,0,56,1.055,5,8.0,4,4,6,"[False, False, False, False, False, False]",200
